2026-07-01 17:35:52,480 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 17:35:52,481 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 17:35:52,762 | INFO | src.modeling.MBCInference | Loaded surrogate 'iacs' (features=['purity', 'iacs', 'temperature', 'time']) from models\annealing_iacs\experiments\annealing-v1-best-quality\annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 17:35:53,035 | INFO | src.modeling.MBCInference | Loaded surrogate 'tensile_strength' (features=['purity', 'initial_diameter', 'tensile_strength', 'temperature', 'time']) from models\annealing_uts\experiments\annealing-uts-v1-best_quality\annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 17:35:53,035 | INFO | log_mbc_annealing_uncertainty | Building parameter grid
2026-07-01 17:35:53,037 | INFO | log_mbc_annealing_uncertainty | Grid: 21 temps x 19 times = 399 cells
2026-07-01 17:35:53,037 | INFO | log_mbc_annealing_uncertainty | Predicting predictive distributions
2026-07-01 17:36:14,545 | INFO | log_mbc_annealing_uncertainty | Computing success probabilities (chance constraints)
2026-07-01 17:36:14,547 | INFO | src.metrics.ProbabilisticEvaluation | Probabilistic setpoints (delta=0.50 -> Pr>=0.50): kept 6 / 399 cells.
2026-07-01 17:36:14,549 | INFO | log_mbc_annealing_uncertainty | Feasible cells (Pr >= 0.50): 6
2026-07-01 17:36:14,549 | INFO | log_mbc_annealing_uncertainty | Computing cost functions
2026-07-01 17:36:14,551 | INFO | log_mbc_annealing_uncertainty | Selecting operating points
